"rt","responses","trial_index","time_elapsed","ID","lang","leftIsUp","screenX","screenY","innerX","innerY","version","raw_FPS","estimated_FPS","success","key","dir","modality","actual_cross_pt","actual_graph_pt","untrust_graph_pt","nbOfFrames","correct","current_streak","longest_streak","current_bonus","total_score","steepness","number_points","standard_deviation","loop_number","button_pressed","finished","1Q0","1Q1","1Q2","1Q3","1Q4","T_test","Pearson_R","OLS_slope"
4501.50000000006,"",42,432378,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"up","touchscreen",998.929999999993,99.2600000000093,94.6999999998952,6,FALSE,0,6,0,69,-0.125,66,0.1,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",-2.75230941196881,-0.325323883983113,-0.118258162966571
1485.89999999991,"",43,435903,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"up","touchscreen",998.199000000022,100.022000000055,95.5999999999185,6,FALSE,0,6,0,69,-0.125,66,0.2,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",-1.19345574870602,-0.147549131280043,-0.104704435080749
3155.40000000008,"",44,441100,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"up","touchscreen",998.244000000006,100.145000000019,96.0999999999767,6,FALSE,0,6,0,69,-0.1875,38,0.05,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",-6.06184893424885,-0.710723233567342,-0.166372249032499
2282.20000000007,"",45,445421,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"up","touchscreen",997.773999999976,100.616000000038,96.8999999999651,6,FALSE,0,6,0,69,-0.125,18,0.15,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",-0.52434584321055,-0.129974498542174,-0.0503716463602808
3350.5,"",46,450801,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"down","touchscreen",998.630000000005,99.8880000000354,96.1999999999534,6,FALSE,0,6,0,69,0.0625,6,0.2,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",0.475100835590509,0.231118864146462,0.111552934228977
2375,"",47,455217,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"up","touchscreen",999.715000000026,98.3800000000047,94.9000000000815,6,FALSE,0,6,0,69,-0.125,6,0.15,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",-1.16533203780752,-0.503440768992733,-0.128833794120698
2408.89999999991,"",48,459670,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"up","touchscreen",999.128000000026,99.1500000000233,95,6,TRUE,1,6,0,69,0.125,38,0.1,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",2.10238609443842,0.330684755271402,0.126390217215658
2743.70000000001,"",49,464455,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"up","touchscreen",998.267999999982,100.085000000021,96.2999999999302,6,FALSE,0,6,0,69,-0.0625,38,0.1,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",-0.43609629277838,-0.0724914894901543,-0.0235587728810482
3681.29999999993,"",50,470170,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"up","touchscreen",998.408999999985,99.869000000006,96.1999999999534,6,FALSE,0,6,0,69,-0.1875,38,0.1,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",-5.80748664332096,-0.695485432121888,-0.290153863751113
2004.20000000013,"",51,474218,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"down","touchscreen",999.352000000014,99.1060000000289,96.7000000000698,6,TRUE,1,6,0,69,0,38,0.2,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",-1.04251823324123,-0.171188158053104,-0.115862902468859
3315.59999999992,"",52,479575,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"down","touchscreen",998.640000000014,99.9369999999763,95.5999999999185,6,FALSE,0,6,0,69,0.125,66,0.1,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",4.16836033059045,0.462082100099974,0.170538079146916
